test,speed,payload,date yyyy-mm-dd,time hh:mm,route
1,1.0,12,2019-09-18,11:59,A
2,0.7,0,2019-09-18,12:13,A
3,1.0,0,2019-09-18,12:31,A
4,1.0,8,2019-09-18,23:11,A
5,0.7,4,2019-09-18,23:47,A
6,1.0,8,2019-09-18,23:57,A
7,0.7,12,2019-09-19,02:22,A
8,0.7,0,2019-09-19,02:31,A
10,0.7,4,2019-09-19,02:53,A
11,0.4,12,2019-09-19,03:01,A
12,1.0,12,2019-09-19,03:31,A
13,0.4,0,2019-09-23,13:05,A
14,0.4,4,2019-09-23,13:21,A
15,1.0,4,2019-09-23,13:50,A
16,0.7,8,2019-09-23,14:06,A
17,0.7,4,2019-09-23,14:18,A
18,0.4,4,2019-09-23,19:32,A
19,0.4,12,2019-09-23,19:45,A
20,0.4,0,2019-09-23,20:00,A
21,1.0,0,2019-09-23,20:15,A
22,0.4,0,2019-09-23,20:22,A
23,1.0,12,2019-09-23,20:36,A
24,0.4,4,2019-09-23,20:43,A
25,1.0,8,2019-09-23,20:56,A
26,0.7,12,2019-09-23,21:04,A
27,1.0,4,2019-09-23,21:16,A
28,0.4,12,2019-09-23,21:26,A
29,0.7,12,2019-09-23,21:42,A
30,0.7,8,2019-09-23,21:50,A
31,1.0,0,2019-09-24,00:08,A
32,0.4,8,2019-09-24,00:14,A
33,0.7,8,2019-09-24,00:31,A
34,0.4,8,2019-09-24,00:39,A
35,0.7,0,2019-09-24,00:52,A
36,1.0,4,2019-09-24,01:02,A
37,1.0,12,2019-11-01,20:46,B
38,0.7,0,2019-11-01,20:53,B
39,1.0,0,2019-11-01,21:01,B
40,1.0,8,2019-11-01,21:07,B
41,0.7,4,2019-11-01,21:13,B
42,1.0,8,2019-11-01,21:19,B
43,0.7,12,2019-11-01,21:29,B
45,0.4,8,2019-11-01,21:44,B
46,0.7,4,2019-11-01,21:54,B
47,0.4,12,2019-11-08,10:21,B
48,1.0,12,2019-11-08,10:31,B
49,0.4,0,2019-11-08,10:36,B
50,0.4,4,2019-11-08,10:47,B
51,1.0,4,2019-11-08,10:57,B
52,0.7,4,2019-11-08,11:05,B
53,0.7,8,2019-11-08,11:12,B
54,0.4,4,2019-11-08,14:28,B
55,0.4,12,2019-11-08,14:38,B
56,0.4,0,2019-11-08,14:49,B
57,1.0,0,2019-11-08,14:59,B
58,0.4,0,2019-11-08,15:04,B
59,1.0,12,2019-11-08,15:14,B
60,0.4,4,2019-11-08,18:55,B
61,1.0,8,2019-11-08,19:05,B
62,0.7,12,2019-11-08,19:10,B
63,1.0,4,2019-11-08,19:17,B
64,0.4,12,2019-11-08,19:22,B
65,0.7,12,2019-11-08,19:33,B
66,0.7,8,2019-11-08,19:40,B
67,1.0,0,2019-11-08,19:47,B
68,0.4,8,2019-11-08,19:52,B
69,0.7,8,2019-11-08,20:04,B
70,0.4,8,2019-11-08,20:12,B
71,0.7,0,2019-11-08,20:22,B
72,1.0,4,2019-11-08,20:29,B
73,1.0,12,2019-11-08,21:05,C
74,0.7,0,2019-11-20,10:49,C
75,1.0,0,2019-11-20,10:58,C
76,1.0,8,2019-11-20,11:04,C
78,1.0,8,2019-11-20,11:19,C
79,0.7,12,2019-11-20,14:45,C
80,0.7,0,2019-11-20,14:56,C
81,0.4,8,2019-11-20,15:05,C
82,0.7,4,2019-11-20,15:18,C
101,0.7,12,2019-11-26,19:24,C
102,0.4,12,2019-11-26,19:31,C
103,0.7,8,2019-11-26,19:43,C
104,1.0,0,2019-11-26,19:51,C
105,0.4,8,2019-11-26,19:57,C
106,0.7,8,2019-11-26,20:08,C
107,0.4,8,2019-11-26,20:16,C
108,0.7,0,2019-11-26,20:42,C
109,1.0,0,2019-08-15,19:36,D
110,1.0,0,2019-08-15,19:47,D
111,1.0,0,2019-08-15,19:55,D
112,1.0,0,2019-08-15,20:06,D
113,1.0,0,2019-08-15,20:15,D
